B1_DESC;B1_DESC;Equivalencia;Cantidad;Cantidad Comprobantes;Cant Clientes;80/20;Meses Vendidos ;"Peso (Kg) 
(producto+empaque)";"Ancho (mm)
(producto+empaque)";"Largo(mm)
(producto+empaque)";"Alto(mm)
(producto+empaque)";Clasificacion CD
ROD2200SKF;2200 E-2RS1TN9;100;123;9;4;0,01%;8;0,0515;23;45;47;BC1
ROD2201SKF2;2201 ETN9;110;35;11;3;0,00%;8;0,0545;23;45;47;CD2
ROD2202SKF2;2202 ETN9;200;22;10;5;0,00%;6;0,0591;23;45;47;CC1
ROD2203SKF2;2203 ETN9;300;2;2;2;0,00%;1;0,0910;23;60;62;CD2
ROD2204SKF3;2204 ETN9;400;39;18;7;0,00%;12;0,1360;23;60;62;CD1
ROD2205SKF6;2205 ETN9;500;67;27;20;0,00%;17;0,1555;29;65;67;CC1
ROD2205SKF7;2205 ETN9/C3;500;17;2;2;0,00%;2;0,1542;29;65;67;CD2
ROD2206SKF6;2206 ETN9;600;138;44;24;0,01%;25;0,2515;28;76;78;BC1
ROD2207SKF7;2207 ETN9;700;346;81;44;0,03%;31;0,4000;30;84;86;AB1
ROD2207SKF8;2207 ETN9/C3;700;11;7;5;0,00%;7;0,4000;30;84;86;CD1
ROD2208SKF7;2208 ETN9;800;191;67;33;0,02%;27;0,5000;27;94;96;BB1
ROD2208SKF8;2208 ETN9/C3;800;32;16;10;0,00%;11;0,5000;27;94;96;CD1
ROD2209SKF6;2209 ETN9;900;70;47;30;0,01%;20;0,5520;27;94;96;BC1
ROD2209SKF7;2209 ETN9/C3;900;;2;1;0,00%;1;0,5520;27;94;96;CD9
ROD2210SKF6;2210 ETN9;1000;23;14;12;0,00%;9;0,5800;29;104;106;CC1
ROD2211SKF6;2211 ETN9;1100;7;6;4;0,00%;5;0,7960;31;114;116;CD9
ROD2212SKF4;2212 ETN9;1200;33;26;15;0,01%;15;1,0800;33;124;126;CC1
ROD2213SKF5;2213 ETN9;1300;5;6;4;0,00%;4;1,4090;35;134;136;CD9
ROD2213SKF6;2213 ETN9/C3;1300;4;1;1;0,00%;1;1,4190;35;134;136;OO9
ROD2214SKF;2214;1400;21;8;8;0,01%;7;1,5580;35;134;136;CD1
ROD2215SKF3;2215 ETN9;1500;6;1;1;0,00%;1;1,5700;40;144;146;OO9
ROD2215SKF4;2215 ETN9/C3;1500;5;7;6;0,00%;6;1,6100;40;144;146;CD2
ROD2216SKF3;2216 ETN9;1600;4;4;3;0,00%;4;1,9910;40;144;146;CD2
ROD2205SKF5;2205 EKTN9;1700;29;7;5;0,00%;6;0,1475;29;65;67;CD1
ROD2206SKF5;2206 EKTN9;1800;14;9;8;0,00%;7;0,2455;28;76;78;CC1
ROD2207SKF5;2207 EKTN9;1900;53;20;16;0,00%;15;0,3880;30;84;86;CC1
ROD2207SKF6;2207 EKTN9/C3;1900;10;3;3;0,00%;3;0,3880;30;84;86;CD2
ROD2208SKF5;2208 EKTN9;2000;81;36;19;0,01%;19;0,4850;27;94;96;BC1
ROD2208SKF6;2208 EKTN9/C3;2000;2;1;1;0,00%;1;0,4890;27;94;96;CD9
ROD2209SKF4;2209 EKTN9;2100;268;89;38;0,03%;31;0,5360;27;94;96;BB1
ROD2209SKF5;2209 EKTN9/C3;2100;46;29;13;0,01%;15;0,5470;27;94;96;CC1
ROD2210SKF4;2210 EKTN9;2200;80;34;16;0,01%;20;0,5600;29;104;106;BC1
ROD2210SKF5;2210 EKTN9/C3;2200;4;1;1;0,00%;1;0,5660;29;104;106;CD9
ROD2211SKF4;2211 EKTN9;2300;127;58;31;0,02%;28;0,7890;31;114;116;BC1
ROD2211SKF5;2211 EKTN9/C3;2300;10;3;1;0,00%;3;0,7890;31;114;116;CD9
ROD2212SKF2;2212 EKTN9;2400;89;58;13;0,02%;31;1,0660;33;124;126;BC1
ROD2213SKF3;2213 EKTN9;2500;127;71;29;0,03%;27;1,3680;35;134;136;BB1
ROD2213SKF4;2213 EKTN9/C3;2500;27;11;8;0,00%;9;1,3680;35;134;136;CC1
ROD2215SKF;2215 EKTN9;2600;34;17;12;0,01%;13;1,5300;40;144;146;BC1
ROD2215SKF2;2215 EKTN9/C3;2600;9;5;5;0,00%;4;1,5300;40;144;146;CD1
ROD2216SKF;2216 EKTN9;2700;49;25;12;0,01%;17;1,9600;40;144;146;BC1
ROD2217SKF2;2217 K;2800;7;2;2;0,00%;1;2,5240;48;157;161;OO9
ROD2218SKF2;2218 K;2900;7;3;2;0,00%;3;3,2020;47;164;166;CD2
ROD2219SKF;2219 KM;2950;1;1;1;0,00%;1;4,2410;53;177;181;CD9
ROD2220SKF;2220 KM;3000;8;7;2;0,01%;5;5,1100;53;187;191;OO9
ROD2220SKF10;2220 M;3010;2;1;1;0,00%;1;5,2200;53;187;191;CD9
ROD2201SKF;2201 E-2RS1TN9;3090;156;15;8;0,01%;10;0,0584;23;45;47;CD1
ROD2202SKF;2202 E-2RS1TN9;3100;255;30;10;0,01%;15;0,0640;23;45;47;BC1
ROD2203SKF;2203 E-2RS1TN9;3200;50;17;8;0,00%;14;0,0970;23;60;62;CC1
ROD2204SKF;2204 E-2RS1TN9;3300;184;48;24;0,02%;25;0,1465;23;60;62;BC1
ROD2205SKF3;2205 E-2RS1TN9;3400;422;89;26;0,03%;31;0,1665;29;65;67;AB1
ROD2205SKF4;2205 E-2RS1TN9/C3;3400;19;2;2;0,00%;2;0,1645;29;65;67;CD2
ROD2206SKF3;2206 E-2RS1TN9;3500;263;53;26;0,02%;33;0,2665;28;76;78;BB1
ROD2207SKF3;2207 E-2RS1TN9;3600;150;59;31;0,02%;23;0,4140;30;84;86;BC1
ROD2207SKF4;2207 E-2RS1TN9/C3;3600;4;2;1;0,00%;2;0,4270;30;84;86;CD9
ROD2208SKF3;2208 E-2RS1TN9;3700;85;29;20;0,01%;21;0,5230;27;94;96;BC1
ROD2209SKF3;2209 E-2RS1TN9;3800;41;18;12;0,00%;14;0,5600;27;94;96;CC1
ROD2210SKF3;2210 E-2RS1TN9;3900;41;13;5;0,01%;8;0,6060;29;104;106;BC1
ROD2211SKF3;2211 E-2RS1TN9;4000;27;9;4;0,00%;9;0,8220;31;114;116;CD1
ROD2212SKF;2212 E-2RS1TN9;4100;14;7;2;0,00%;5;1,1360;33;124;126;CD2
ROD2214SKF2;2214 E-2RS1TN9;4120;25;11;4;0,01%;11;1,5560;35;134;136;CD1
ROD2205SKF;2205 E-2RS1KTN9;4200;10;1;1;0,00%;1;0,1595;29;65;67;OO9
ROD2206SKF;2206 E-2RS1KTN9;4300;16;4;1;0,00%;3;0,2575;28;76;78;OO9
ROD2206SKF2;2206 E-2RS1KTN9/C3;4300;3;2;2;0,00%;2;0,2575;28;76;78;CD2
ROD2207SKF;2207 E-2RS1KTN9;4400;134;22;10;0,02%;17;0,4070;30;84;86;BC1
ROD2207SKF2;2207 E-2RS1KTN9/C3;4400;6;2;1;0,00%;2;0,4070;30;84;86;CD9
ROD2208SKF;2208 E-2RS1KTN9;4500;14;2;2;0,00%;2;0,5190;27;94;96;CD9
ROD2208SKF2;2208 E-2RS1KTN9/C3;4500;18;5;4;0,00%;5;0,5190;27;94;96;CD2
ROD2209SKF;2209 E-2RS1KTN9;4510;59;27;11;0,01%;16;0,5378;27;94;96;CC1
ROD2210SKF;2210 E-2RS1KTN9;4520;26;11;7;0,00%;10;0,5930;29;104;106;CD1
ROD2211SKF;2211 E-2RS1KTN9;4530;7;6;5;0,00%;5;0,8150;31;114;116;CD1
ROD2305SKF2;2305 ETN9;5000;10;7;3;0,00%;5;0,3185;28;76;78;CD2
ROD2305SKF4;2305 M;5000;8;4;2;0,00%;4;0,3685;28;76;78;CD2
ROD2305SKF5;2305 M/P6;5000;11;9;2;0,00%;7;0,3701;28;76;78;CD1
ROD2306SKF;2306;5100;8;7;5;0,00%;7;0,5190;37;94;96;CD2
ROD2307SKF6;2307 ETN9;5200;37;19;13;0,00%;13;0,6785;37;94;96;CC1
ROD2307SKF7;2307 ETN9/C3;5200;4;1;1;0,00%;1;0,6785;37;94;96;OO9
ROD2307SKF4;2307 EM;5202;4;3;2;0,00%;3;0,7770;37;94;96;CD9
ROD2308SKF4;2308 EM;5300;39;16;4;0,00%;12;1,0240;40;104;106;CD1
ROD2308SKF5;2308 EM/P6;5300;10;4;2;0,00%;4;1,0180;40;104;106;CD2
ROD2308SKF6;2308 ETN9;5300;54;33;19;0,01%;16;0,9080;40;104;106;BC1
ROD2309SKF4;2309 EM;5400;36;20;8;0,01%;16;1,3550;44;114;116;BC1
ROD2309SKF6;2309 ETN9;5400;28;19;12;0,01%;12;1,2460;44;114;116;CC1
ROD2309SKF7;2309 ETN9/C3;5400;2;1;1;0,00%;1;1,2360;44;114;116;OO9
ROD2309SKF9;2309 M/VQ335;5430;2;3;1;0,00%;1;1,4060;44;114;116;CD9
ROD2310SKF;2310;5500;30;20;13;0,01%;14;1,6620;50;124;126;BC1
ROD2310SKF6;2310/C3;5500;8;5;3;0,00%;5;1,6620;50;124;126;CD2
ROD2312SKF;2312;5520;12;10;6;0,01%;9;2,6540;53;134;136;CC1
ROD2313SKF;2313;5600;23;6;2;0,01%;5;3,2810;58;147;151;BD1
ROD2315SKF;2315;5610;4;2;1;0,00%;2;4,9350;65;167;171;OO9
ROD2315SKF5;2315/C3;5610;5;2;2;0,00%;2;4,9350;65;167;171;CD9
ROD2306SKF4;2306 K/C3;5800;9;2;1;0,00%;2;0,5020;37;94;96;OO9
ROD2307SKF2;2307 EKTN9;5900;2;1;1;0,00%;1;0,6610;37;94;96;CD9
ROD2308SKF2;2308 EKTN9;6000;7;2;2;0,00%;2;0,8860;40;104;106;CD9
ROD2308SKF3;2308 EKTN9/C3;6000;6;1;1;0,00%;1;0,8960;40;104;106;CD9
ROD2310SKF3;2310 K;6200;14;8;4;0,01%;5;1,6470;50;124;126;CD2
ROD2310SKF4;2310 K/C3;6200;5;3;2;0,00%;3;1,6470;50;124;126;CD2
ROD2311SKF2;2311 K;6300;7;4;3;0,00%;4;2,0940;53;134;136;CD2
ROD2312SKF2;2312 K;6400;8;2;2;0,00%;2;2,6040;53;134;136;CD9
ROD2312SKF3;2312 K/C3;6400;-1;1;1;0,00%;1;2,5840;53;134;136;OO9
ROD2313SKF2;2313 K;6500;88;35;7;0,05%;16;3,2270;58;147;151;BD1
ROD2313SKF3;2313 K/C3;6500;4;2;2;0,00%;2;3,2270;58;147;151;CD2
ROD2315SKF2;2315 K;6600;44;27;5;0,04%;16;4,7640;65;167;171;BD1
ROD2316SKF;2316 K/C3;6610;1;1;1;0,00%;1;5,6880;62;174;176;OO9
ROD2317SKF;2317 KM;6620;7;3;1;0,01%;3;7,2610;67;187;191;OO9
ROD2317SKF2;2317 KM/C3;6620;14;10;2;0,02%;7;7,2610;67;187;191;CD9
ROD2304SKF;2304 E-2RS1TN9;6800;2;2;2;0,00%;1;0,2105;29;65;67;CD2
ROD2305SKF;2305 E-2RS1TN9;6900;133;24;10;0,01%;14;0,3535;28;76;78;BC1
ROD2306SKF2;2306 E-2RS1TN9;6910;87;23;7;0,01%;14;0,5430;37;94;96;BC1
ROD2307SKF;2307 E-2RS1TN9;7000;6;3;2;0,00%;3;0,7160;37;94;96;CD9
ROD2308SKF;2308 E-2RS1TN9;7100;27;10;5;0,00%;8;0,9440;40;104;106;CC1
ROD2309SKF;2309 E-2RS1TN9;7110;4;2;1;0,00%;2;1,2710;44;114;116;CD9
ROD2310SKF2;2310 E-2RS1TN9;7120;20;17;12;0,01%;14;1,6970;50;124;126;CC1
ROD1200SKF;1200 ETN9;7900;36;11;8;0,00%;9;0,0348;17;45;47;CD1
ROD1201SKF;1201 ETN9;8000;23;10;8;0,00%;7;0,0438;23;45;47;CD9
ROD1202SKF;1202 ETN9;8100;52;29;13;0,00%;20;0,0520;13;80;80;CC1
ROD1203SKF2;1203 ETN9;8200;40;17;14;0,00%;15;0,0750;20;60;62;CC1
ROD1204SKF3;1204 ETN9;8300;231;52;23;0,02%;27;0,1190;20;60;62;BC1
ROD1205SKF3;1205 ETN9;8400;656;146;68;0,03%;36;0,1404;22;65;67;AB1
ROD1205SKF4;1205 ETN9/C3;8400;66;11;4;0,00%;8;0,1444;22;65;67;CC1
ROD1206SKF4;1206 ETN9;8500;651;165;82;0,04%;36;0,2280;23;76;78;AB1
ROD1206SKF5;1206 ETN9/C3;8500;30;18;12;0,00%;12;0,2280;23;76;78;CC1
ROD1207SKF4;1207 ETN9;8600;204;86;48;0,02%;34;0,3260;25;84;86;BB1
ROD1207SKF5;1207 ETN9/C3;8600;5;4;4;0,00%;4;0,3260;25;84;86;CD1
ROD1208SKF4;1208 ETN9;8700;151;75;41;0,01%;28;0,4250;27;94;96;BB1
ROD1208SKF5;1208 ETN9/C3;8700;22;11;9;0,00%;8;0,4240;27;94;96;CD1
ROD1209SKF3;1209 ETN9;8800;177;85;49;0,02%;33;0,4710;27;94;96;BB1
ROD1210SKF3;1210 ETN9;8900;113;41;30;0,01%;23;0,5290;29;104;106;BB1
ROD1211SKF3;1211 ETN9;9000;64;37;20;0,01%;23;0,7150;26;114;116;BC1
ROD1211SKF4;1211 ETN9/C3;9000;69;21;6;0,01%;13;0,7150;26;114;116;BC1
ROD1212SKF3;1212 ETN9;9100;54;23;14;0,01%;16;0,9100;28;124;126;BC1
ROD1213SKF3;1213 ETN9;9200;28;21;8;0,00%;13;1,1460;29;134;136;CC1
ROD1213SKF4;1213 ETN9/C3;9200;3;1;1;0,00%;1;1,1460;29;134;136;CD9
ROD1214SKF;1214 ETN9;9300;20;12;4;0,01%;7;1,2620;29;134;136;BD1
ROD1215SKF;1215;9400;3;2;1;0,00%;2;1,3500;32;144;146;OO9
ROD1218SKF;1218;9700;1;1;1;0,00%;1;2,5480;34;164;166;CD9
ROD1218SKF4;1218/C5;9700;7;4;1;0,01%;3;2,5380;34;164;166;BD9
ROD1220SKF;1220;9900;5;3;3;0,00%;3;3,8100;38;184;186;CD2
ROD1205SKF;1205 EKTN9;10100;26;15;9;0,00%;11;0,1339;22;65;67;CC1
ROD1206SKF;1206 EKTN9;10200;252;54;26;0,01%;26;0,2210;23;76;78;BC1
ROD1207SKF;1207 EKTN9;10300;405;121;46;0,02%;34;0,3200;25;84;86;AB1
ROD1207SKF3;1207 EKTN9/C3;10300;9;6;4;0,00%;5;0,3200;25;84;86;CD2
ROD1207SKF2;1207 EKTN9 + H 207;10380;5;1;1;0,00%;1;;;;;OO9
ROD1208SKF;1208 EKTN9;10400;565;164;70;0,05%;35;0,4240;27;94;96;AB1
ROD1208SKF3;1208 EKTN9/C3;10400;28;9;7;0,00%;6;0,4240;27;94;96;CD2
ROD1209SKF;1209 EKTN9;10500;590;165;61;0,06%;36;0,4700;27;94;96;AB1
ROD1209SKF2;1209 EKTN9/C3;10500;35;21;18;0,00%;15;0,4700;27;94;96;CC1
ROD1210SKF;1210 EKTN9;10600;352;129;51;0,04%;33;0,5160;29;104;106;AB1
ROD1210SKF2;1210 EKTN9/C3;10600;30;20;8;0,00%;14;0,5160;29;104;106;CC1
ROD1211SKF;1211 EKTN9;10700;615;141;51;0,07%;34;0,6942;26;114;116;AB1
ROD1211SKF2;1211 EKTN9/C3;10700;71;16;6;0,01%;8;0,7020;26;114;116;BC1
ROD1212SKF;1212 EKTN9;10800;117;47;23;0,01%;23;0,9070;28;124;126;BC1
ROD1212SKF2;1212 EKTN9/C3;10800;10;8;6;0,00%;5;0,8970;28;124;126;CD1
ROD1213SKF;1213 EKTN9;10900;186;81;38;0,03%;30;1,1360;29;134;136;BB1
ROD1213SKF2;1213 EKTN9/C3;10900;27;12;7;0,00%;9;1,1360;29;134;136;CC1
ROD1215SKF2;1215 K;11100;21;19;11;0,01%;9;1,3530;32;144;146;BC1
ROD1215SKF3;1215 K/C3;11100;56;20;9;0,01%;12;1,3540;32;144;146;BD1
ROD1216SKF2;1216 K;11200;8;6;4;0,00%;5;1,6680;32;144;146;CD2
ROD1216SKF3;1216 K/C3;11200;6;7;3;0,00%;5;1,6840;32;144;146;CD2
ROD1217SKF2;1217 K;11300;114;55;11;0,05%;26;2,0600;32;154;156;AC1
ROD1218SKF2;1218 K;11400;15;10;9;0,01%;7;2,5180;34;164;166;BD1
ROD1220SKF2;1220 K;11600;1;1;1;0,00%;1;3,7250;38;184;186;OO9
ROD1222SKF2;1222 K;11700;4;2;1;0,00%;2;5,1550;53;210;215;CD9
ROD1303SKF2;1303 ETN9;11900;2;1;1;0,00%;1;0,1280;20;60;62;OO9
ROD1304SKF;1304 ETN9;12000;44;10;9;0,00%;9;0,1644;22;65;67;CD1
ROD1305SKF2;1305 ETN9;12100;120;41;25;0,01%;23;0,2660;23;76;78;CC1
ROD1306SKF3;1306 ETN9;12200;161;60;30;0,02%;29;0,4000;25;84;86;BC1
ROD1306SKF4;1306 ETN9/C3;12200;3;3;2;0,00%;3;0,3970;25;84;86;CD2
ROD1307SKF3;1307 ETN9;12300;88;47;29;0,01%;27;0,5160;27;94;96;BB1
ROD1307SKF4;1307 ETN9/C3;12300;28;10;3;0,00%;8;0,5290;27;94;96;CC1
ROD1308SKF4;1308 ETN9;12400;130;50;29;0,02%;27;0,7040;29;104;106;BC1
ROD1309SKF3;1309 ETN9;12500;45;26;17;0,01%;14;0,9570;31;114;116;BC1
ROD1310SKF3;1310 ETN9;12600;31;21;16;0,01%;17;1,2160;33;124;126;BC1
ROD1311SKF3;1311 ETN9;12700;84;33;7;0,02%;19;1,5580;35;134;136;CD1
ROD1311SKF4;1311 ETN9/C3;12700;6;4;4;0,00%;4;1,5780;35;134;136;CD9
ROD1312SKF3;1312 ETN9;12800;50;4;2;0,01%;4;1,9800;40;144;146;BD2
ROD1313SKF3;1313 ETN9;12900;10;6;3;0,00%;5;2,4400;40;144;146;CD1
ROD1306SKF;1306 EKTN9;13700;3;2;2;0,00%;2;0,3940;25;84;86;CD2
ROD1307SKF;1307 EKTN9;13800;2;3;2;0,00%;3;0,5190;27;94;96;CD9
ROD1308SKF;1308 EKTN9;13900;30;13;5;0,00%;8;0,6950;29;104;106;BC1
ROD1308SKF2;1308 EKTN9/C3;13900;12;3;2;0,00%;3;0,6940;29;104;106;CD2
ROD1309SKF;1309 EKTN9;14000;68;27;14;0,01%;15;0,9305;31;114;116;BC1
ROD1309SKF2;1309 EKTN9/C3;14000;4;5;2;0,00%;3;0,9420;31;114;116;CD2
ROD1310SKF;1310 EKTN9;14100;44;12;4;0,00%;8;1,1960;33;124;126;BC1
ROD1310SKF2;1310 EKTN9/C3;14100;20;10;2;0,00%;9;1,1860;33;124;126;CD1
ROD1311SKF;1311 EKTN9;14200;52;29;19;0,01%;19;1,5430;35;134;136;BC1
ROD1311SKF2;1311 EKTN9/C3;14200;10;5;5;0,00%;5;1,5430;35;134;136;CD2
ROD1312SKF;1312 EKTN9;14300;28;13;7;0,01%;10;1,9500;40;144;146;BC1
ROD1312SKF2;1312 EKTN9/C3;14300;1;1;1;0,00%;1;1,9500;40;144;146;OO9
ROD1313SKF;1313 EKTN9;14400;33;13;7;0,01%;11;2,4150;40;144;146;BD1
ROD1315SKF2;1315 K;14600;9;5;4;0,01%;5;3,5690;44;167;171;CD9
ROD1316SKF2;1316 K;14700;4;3;2;0,00%;2;4,1600;43;174;176;OO9
ROD1316SKF3;1316 K/C3;14700;2;1;1;0,00%;1;4,1490;43;174;176;CD9
ROD1317SKF;1317 K;14800;4;1;1;0,00%;1;4,9560;45;184;186;CD9
ROD1318SKF;1318 K;14900;7;5;2;0,00%;5;5,8080;53;200;205;CD2
ROD1319SKF;1319 K;15000;5;1;1;0,00%;1;6,7120;58;210;215;BD9
ROD1320SKF2;1320 K;15100;15;13;1;0,03%;8;8,2860;58;230;235;OO9
ROD5012SKF;VKC 5012;15400;2;2;2;0,00%;2;0,2330;22;76;76;OO9
ROD3584SKF2;VKC 3584;15420;3;3;3;0,00%;3;0,2380;47;82;83;CD2
ROD3626SKF;VKC 3626;15460;1;1;1;0,00%;1;0,3360;64;95;97;OO9
ROD5006SKF2;VKC 5006;15600;94;65;28;0,01%;25;0,5270;37;76;76;CB1
ROD5052SKF;VKC 5052 H;15700;175;109;52;0,01%;35;0,3180;72;72;36;BB1
ROD4008SKF;N4008-SA;15720;2;2;2;0,00%;2;0,2699;47;88;88;CD9
ROD4628SKF;VKC 4628 A;15740;12;11;7;0,00%;8;2,1800;1;110;110;CD1
ROD4629SKF;VKC 4629 A;15780;6;8;6;0,00%;6;1,0330;1;92;92;CD2
ROD4709SKF;VKC 4709 A;15880;14;11;6;0,00%;7;2,0500;1;100;100;CC1
ROD4711SKF;VKC 4711 A;15940;32;29;16;0,01%;19;0,9880;1;126;126;BC1
ROD5003SKF;VKC 5003;16500;120;89;47;0,02%;33;0,6900;41;83;83;BB1
ROD5021SKF;VKC 5021;16610;14;15;13;0,00%;9;0,4480;22;97;97;CD2
ROD5007SKF2;VKC 5007;16800;106;83;36;0,01%;30;0,4660;54;64;64;CB1
ROD5060SKF;VKC 5060;16810;21;20;15;0,00%;15;0,8010;55;92;92;CC1
ROD2039SKF;VKC 2039;16900;7;4;4;0,00%;4;0,2920;33;93;93;CD2
ROD5002SKF;VKC 5002;17000;697;330;117;0,05%;36;0,3380;22;93;93;AB1
ROD5061SKF;VKC 5061;17020;27;25;17;0,00%;12;0,7790;55;92;92;CC1
ROD5009SKF;VKC 5009;17200;11;11;11;0,00%;10;0,2800;21;83;83;CD2
ROD2176SKF;VKC 2176 H;17400;1;1;1;0,00%;1;0,6700;118;132;42;OO9
ROD5011SKF;VKC 5011;17600;3;3;3;0,00%;3;0,2750;21;84;84;CD2
ROD2051SKF;VKC 2051;17900;28;19;10;0,00%;15;0,1750;49;76;78;CC1
ROD2169SKF;VKC 2169 H;18100;423;147;55;0,02%;34;0,2300;65;95;97;BB1
ROD5169SKF;VKC 5169;18100;30;22;17;0,00%;15;0,3920;72;109;47;CC1
ROD2054SKF;VKC 2054;18200;1;1;1;0,00%;1;0,2630;49;76;78;CD9
ROD2151SKF;VKC 2151;18350;1;3;2;0,00%;2;0,2258;64;95;97;CD9
ROD5014SKF3;VKC 5014;18400;6;6;4;0,00%;5;0,2320;26;72;72;CD2
ROD5025SKF2;VKC 5025;18600;1;1;1;0,00%;1;0,2500;26;72;72;CD9
ROD5045SKF;VKC 5045;19000;12;9;6;0,00%;8;0,2720;36;72;72;CD2
ROD5008SKF2;VKC 5008;19100;15;11;6;0,00%;10;0,4330;48;72;72;CD2
ROD2130SKF;VKC 2130;19500;25;15;8;0,00%;12;0,2540;64;95;97;CD1
ROD2044SKF;VKC 2044;19810;367;175;79;0,03%;34;0,4000;85;85;25;BB1
ROD306775SKF;306775 B;19900;9;13;11;0,00%;11;0,5390;32;94;96;CD1
ROD2089SKF;VKC 2089;20100;5;4;4;0,00%;4;0,7070;49;95;95;OO9
ROD4651SKF;VKC 4651 A;20110;24;23;11;0,00%;15;0,6460;1;92;92;CC1
ROD2062SKF;VKC 2062;20400;1;1;1;0,00%;1;0,5900;118;132;42;CD9
ROD2155SKF;VKC 2155;20400;1;1;1;0,00%;1;0,6560;118;132;42;OO9
ROD2077SKF;VKC 2077;20410;7;7;5;0,00%;6;0,7000;118;132;42;CD1
ROD5033SKF;VKC 5033 H;20500;1;1;1;0,00%;1;0,6880;34;104;104;OO9
ROD5063SKF;VKC 5063 A;21050;1;1;1;0,00%;1;1,2400;90;125;115;OO9
ROD2068SKF;VKC 2068;21100;1;1;1;0,00%;1;0,4400;64;95;97;CD9
ROD5261SKF;VKC 5261 H;21170;1;5;3;0,00%;4;1,2920;23;76;78;CD2
ROD5260SKF;VKC 5260 H;21190;9;11;7;0,00%;8;0,8820;23;76;78;CD1
ROD5062SKF;VKC 5062;21210;175;135;52;0,02%;35;0,8710;54;96;96;BB1
ROD3554SKF;VKC 3554;21240;10;7;6;0,00%;5;0,2000;49;76;78;CD9
ROD3600SKF2;VKC 3600;21250;5;5;4;0,00%;5;0,3511;64;95;97;CD9
ROD4093SKF2;N4093;21260;4;4;4;0,00%;3;0,4831;64;83;83;CD2
ROD3675SKF;VKC 3675;21290;10;12;9;0,00%;11;0,1350;38;83;83;CD1
ROD3672SKF;VKC 3672;21350;2;1;1;0,00%;1;0,4020;64;95;97;CD9
ROD3672SKF2;VKC 3672 A;21350;751;399;136;0,13%;34;0,2600;98;94;62;AB1
ROD3673SKF;VKC 3673;21360;1;1;1;0,00%;1;0,1450;38;83;83;CD9
ROD3623SKF;VKC 3623;21450;1;1;1;0,00%;1;0,1730;64;95;97;CD9
ROD3502SKF;VKC 3502;21600;5;4;4;0,00%;4;0,2115;49;76;78;CD2
ROD3500SKF2;VKC 3500;21800;18;16;9;0,00%;12;0,2970;49;76;78;CC1
ROD3606SKF;VKC 3606;21850;11;10;7;0,00%;10;0,3030;38;83;83;CD1
ROD3511SKF;VKC 3511;21900;3;3;2;0,00%;3;0,2290;49;76;78;CD2
ROD3622SKF;VKC 3622;21960;34;33;21;0,01%;22;0,2695;52;82;82;BC1
ROD3509SKF;VKC 3509;22000;1;3;2;0,00%;2;0,1120;49;76;78;OO9
ROD3505SKF;VKC 3505;22010;2;2;2;0,00%;2;0,1920;49;76;78;CD9
ROD3578SKF2;VKC 3578;22020;3;3;3;0,00%;3;0,1580;38;83;83;CD2
ROD2538SKF;VKC 2538;22030;4;4;3;0,00%;3;0,1670;49;76;78;CD2
ROD3615SKF;VKC 3615;22050;5;9;7;0,00%;7;0,3420;64;95;97;CD1
ROD3579SKF;VKC 3579;22060;62;53;24;0,01%;30;0,3937;52;82;82;CB1
ROD3628SKF;VKC 3628;22070;232;132;51;0,03%;34;0,3280;52;82;82;AB1
ROD3616SKF;VKC 3616;22080;3;3;2;0,00%;3;0,3650;64;95;97;CD2
ROD3559SKF;VKC 3559;22090;4;4;4;0,00%;4;0,4100;64;95;97;CD2
ROD3581SKF;VKC 3581;22150;27;28;21;0,01%;20;0,2922;52;82;82;BC1
ROD3564SKF;VKC 3564;22160;3;3;3;0,00%;3;0,2330;64;95;97;CD2
ROD3577SKF;VKC 3577;22170;10;10;9;0,00%;10;0,2850;64;95;97;CD1
ROD3654SKF;VKC 3654;22180;16;18;10;0,00%;13;0,2700;64;95;97;CC1
ROD3515SKF;VKC 3515;22190;10;10;10;0,00%;9;0,2710;64;95;97;CD1
ROD3666SKF;VKC 3666;22210;3;3;3;0,00%;3;0,1480;64;95;97;CD9
ROD3507SKF;VKC 3507;22250;15;17;11;0,00%;13;0,3560;64;95;97;CD1
ROD3552SKF4;VKC 3552;22260;1;1;1;0,00%;1;0,4040;47;82;83;OO9
ROD2091SKF;VKC 2091 H;22300;810;351;121;0,03%;36;0,2500;25;89;89;AB1
ROD2098SKF;VKC 2098;22500;1;1;1;0,00%;1;0,8550;29;119;119;OO9
ROD2189SKF;VKC 2189 H;22600;114;52;22;0,01%;27;0,2500;73;85;49;CB1
ROD2191SKF;VKC 2191 H;22700;1.021;308;97;0,03%;36;0,0900;60;60;35;AB1
ROD2433SKF;VKC 2433;22710;1;1;1;0,00%;1;0,0923;49;76;78;CD9
ROD2433SKF2;VKC 2433 H;22710;1.125;385;119;0,05%;36;0,0930;49;76;78;AB1
ROD2190SKF;VKC 2190;22750;4;3;2;0,00%;3;0,2810;64;95;97;CD9
ROD2144SKF;VKC 2144;22900;21;20;12;0,00%;16;0,1400;49;76;78;CC1
ROD307438SKF;307438 A;23100;14;12;12;0,01%;10;0,7730;32;144;146;BC1
ROD30302SKF;30302 J2;23300;9;4;4;0,00%;4;0,0938;23;55;57;CD2
ROD30303SKF;30303 J2;23500;81;32;17;0,00%;18;0,1298;23;55;57;CC1
ROD30304SKF;30304;23600;651;101;44;0,02%;35;0,1704;22;65;67;BB1
